Kyler Murray,284
David Johnson,304
Chase Edmonds,69
Larry Fitzgerald,181
Christian Kirk,172
Andy Isabella,86
Charles Clay,58
Matt Ryan,304
Devonta Freeman,243
Ito Smith,80
Julio Jones,285
Calvin Ridley,199
Mohamed Sanu,150
Austin Hooper,153
Lamar Jackson,269
Mark Ingram,215
Marquise Brown,124
Willie Snead,113
Miles Boykin,80
Mark Andrews,135
Josh Allen,259
Devin Singletary,170
Cole Beasley,145
John Brown,135
Zay Jones,106
Dawson Knox,54
Cam Newton,302
Christian McCaffrey,339
Dj Moore,207
Curtis Samuel,165
Jarius Wright,84
Greg Olson,135
Mitchell Trubisky,279
David Montgomery,208
Allen Robinson,206
Taylor Gabriel,117
Anthony Miller,128
Trey Burton,131
Andy Dalton,235
Joe Mixon,264
A.J. Green,170
Tyler Boyd,209
John Ross,103
Tyler Eifert,107
Baker Mayfield,282
Nick Chubb,247
Kareem Hunt,96
Odell Beckham Jr.,271
Jarvis Landry,190
Rashard Higgins,91
David Njoku,147
Dak Prescott,298
Ezekiel Elliott,340
Amari Cooper,244
Michael Gallup,156
Randall Cobb,112
Jason Witten,116
Joe Flacco,219
Phillip Lindsay,174
Royce Freeman,142
Emmanuel Sanders,182
Courtland Sutton,154
DaeSean Hamilton,139
Noah Fant,104
Matthew Stafford,242
Kerryon Johnson,236
Kenny Golladay,212
Marvin Jones Jr.,184
Danny Amendola,116
T.J. Hockenson,111
Aaron Rodgers,299
Aaron Jones,230
Davante Adams,283
Marques Valdes-Scantling,146
Geronimo Allison,130
Jimmy Graham,134
Deshaun Watson,329
Duke Johnson Jr.,190
DeAndre Hopkins,292
Will Fuller V,139
Keke Coutee,127
Jordan Akins,90
Jacoby Brissett,257
Marlon Mack,191
T.Y. Hilton,211
Devin Funchess,130
Parris Campbell,76
Jack Doyle,130
Eric Ebron,119
Nick Foles,192
Leonard Fournette,235
Dede Westbrook,187
Chris Conley,127
DJ Chark,124
Geoff Swaim,76
Patrick Mahomes,342
Damien Williams,173
Tyreek Hill,288
Sammy Watkins,190
Mecole Hardman,99
Travis Kelce,281
Phillip Rivers,267
Melvin Gordon,212
Austin Ekeler,167
Keenan Allen,263
Mike Williams,208
Travis Benjamin,77
Hunter Henry,164
Jared Goff,276
Todd Gurley,276
Brandin Cooks,231
Robert Woods,214
Cooper Kupp,202
Gerald Everett,92
Josh Rosen,132
Kenyan Drake,211
Albert Wilson,136
Davante Parker,130
Jakeem Grant,112
Mike Gesicki,100
Kirk Cousins,263
Dalvin Cook,260
Adam Theilen,240
Stefon Diggs,225
Chad Beebe,78
Kyle Rudolph,130
Tom Brady,298
James White,188
Sony Michel,188
Antonio Brown,236
Julian Edelman,214
Josh Gordon,184
Benjamin Watson,60
Drew Brees,280
Alvin Kamara,333
Michael Thomas,292
Ted Ginn Jr.,128
Tre'Quan Smith,82
Jared Cook,168
Eli Manning,158
Saquon Barkley,366
Golden Tate,131
Darius Slayton,13
Sterling Shepard,205
Evan Engram,177
Sam Darnold,239
Le'Veon Bell,279
Robby Anderson,191
Jamison Crowder,166
Quincy Enunwa,110
Chris Herndon,101
Derek Carr,239
Josh Jacobs,233
Tyrell Williams,206
Hunter Renfrow,139
Ryan Grant,89
Darren Waller,141
Carson Wentz,293
Miles Sanders,168
Alshon Jeffery,204
DeSean Jackson,148
Nelson Agholor,106
Zach Ertz,220
Ben Roethlisberger,286
James Conner,263
JuJu Smith-Schuster,280
Donte Moncrief,154
James Washington,141
Vance McDonald,150
Russell Wilson,279
Chris Carson,226
Tyler Lockett,208
DK Metcalf,140
Jaron Brown,81
Will Dissly,103
Jimmy Garoppolo,237
Tevin Coleman,178
Matt Brieda,160
Dante Pettis,149
Deebo Samuel,104
Marquise Goodwin,76
George Kittle,233
Jameis Winston,272
Peyton Barber,145
Mike Evans,260
Chris Godwin,205
Breshad Perriman,83
O.J. Howard,168
Marcus Mariota,217
Derrick Henry,231
Corey Davis,159
Adam Humphries,141
A.J. Brown,99
Delanie Walker,145
Dwayne Haskins,94
Derrius Guice,188
Paul Richardson,139
Terry McLaurin,124
Trey Quinn,131
Jordan Reed,131
