Salary,Player
3851461,Josh Allen 2018
4814326,Josh Allen 2019
2986538,Patrick Mahomes 2017
3733173,Patrick Mahomes 2018
4479808,Patrick Mahomes 2019
545848,Dak Prescott 2016
635848,Dak Prescott 2017
725848,Dak Prescott 2018
2120848,Dak Prescott 2019
2518997,Deshaun Watson 2017
3148746,Deshaun Watson 2018
3778495,Deshaun Watson 2019
13000000,Carson Palmer 2014
7375000,Carson Palmer 2015
18375000,Carson Palmer 2016
24125000,Carson Palmer 2017
17550000,Aaron Rodgers 2014
18250000,Aaron Rodgers 2015
19250000,Aaron Rodgers 2016
20300000,Aaron Rodgers 2017
20900000,Aaron Rodgers 2018
29352000,Aaron Rodgers 2019
817302,Russell Wilson 2014
7054868,Russell Wilson 2015
18542000,Russell Wilson 2016
14626470,Russell Wilson 2017
23786764,Russell Wilson 2018
26286766,Russell Wilson 2019
18895000,Ben Roethlisberger 2014
17245000,Ben Roethlisberger 2015
23950000,Ben Roethlisberger 2016
18200000,Ben Roethlisberger 2017
23200000,Ben Roethlisberger 2018
26200000,Ben Roethlisberger 2019
5079577,Jared Goff 2016
6349471,Jared Goff 2017
7619365,Jared Goff 2018
10629577,Jared Goff 2019
17500000,Peyton Manning 2014
17500000,Peyton Manning 2015
4850243,Carson Wentz 2016
6062804,Carson Wentz 2017
7275365,Carson Wentz 2018
8393779,Carson Wentz 2019
17500000,Matt Ryan 2014
19500000,Matt Ryan 2015
23750000,Matt Ryan 2016
23750000,Matt Ryan 2017
17700000,Matt Ryan 2018
15800000,Matt Ryan 2019
688172,Kirk Cousins 2014
778172,Kirk Cousins 2015
19953000,Kirk Cousins 2016
23943600,Kirk Cousins 2017
24000000,Kirk Cousins 2018
29000000,Kirk Cousins 2019
18400000,Drew Brees 2014
23800000,Drew Brees 2015
17250000,Drew Brees 2016
19000000,Drew Brees 2017
24000000,Drew Brees 2018
22700000,Drew Brees 2019
14800000,Joe Flacco 2014
14550000,Joe Flacco 2015
22550000,Joe Flacco 2016
24550000,Joe Flacco 2017
24750000,Joe Flacco 2018
4900000,Joe Flacco 2019
15820000,Matthew Stafford 2014
17721250,Matthew Stafford 2015
22500000,Matthew Stafford 2016
16500000,Matthew Stafford 2017
26500000,Matthew Stafford 2018
30700000,Matthew Stafford 2019
6029454,Andrew Luck 2014
7034363,Andrew Luck 2015
18400000,Andrew Luck 2016
19400000,Andrew Luck 2017
24400000,Andrew Luck 2018
633436,Jimmy Garoppolo 2014
791795,Jimmy Garoppolo 2015
950154,Jimmy Garoppolo 2016
434158,Jimmy Garoppolo 2017
37000000,Jimmy Garoppolo 2018
20000000,Jimmy Garoppolo 2019
976691,Derek Carr 2014
1220864,Derek Carr 2015
1465037,Derek Carr 2016
15731691,Derek Carr 2017
25000000,Derek Carr 2018
22500000,Derek Carr 2019
3455046,Ryan Tannehill 2014
4873364,Ryan Tannehill 2015
11640000,Ryan Tannehill 2016
20300000,Ryan Tannehill 2017
8676666,Ryan Tannehill 2018
2225000,Ryan Tannehill 2019
544445,Jacoby Brissett 2016
580038,Jacoby Brissett 2017
760076,Jacoby Brissett 2018
8525000,Jacoby Brissett 2019
20400000,Eli Manning 2014
14450000,Eli Manning 2015
24200000,Eli Manning 2016
19700000,Eli Manning 2017
22200000,Eli Manning 2018
23200000,Eli Manning 2019
11773000,Tony Romo 2014
14973000,Tony Romo 2015
20835000,Tony Romo 2016
16666666,Philip Rivers 2014
21166668,Philip Rivers 2015
16500000,Philip Rivers 2016
18000000,Philip Rivers 2017
22000000,Philip Rivers 2018
23000000,Philip Rivers 2019
7008113,Cam Newton 2014
13000000,Cam Newton 2015
19500000,Cam Newton 2016
20166000,Cam Newton 2017
21500000,Cam Newton 2018
23200000,Cam Newton 2019
3767444,Colin Kaepernick 2014
15265753,Colin Kaepernick 2015
20231507,Colin Kaepernick 2016
14800000,Tom Brady 2014
14000000,Tom Brady 2015
13764706,Tom Brady 2016
14000000,Tom Brady 2017
22000000,Tom Brady 2018
21500000,Tom Brady 2019
18500000,Jay Cutler 2014
16500000,Jay Cutler 2015
17000000,Jay Cutler 2016
10000000,Jay Cutler 2017
4600000,Alex Smith 2014
15600000,Alex Smith 2015
17800000,Alex Smith 2016
16900000,Alex Smith 2017
18400000,Alex Smith 2018
20100000,Alex Smith 2019
9059063,Andy Dalton 2014
